time,note,vol
39418,59,0
39424,67,96
39482,67,0
39488,59,65
39546,59,0
39552,50,60
39610,50,0
39616,59,93
39674,59,0
39680,67,100
39738,67,0
39744,59,68
39802,59,0
39808,67,94
39866,67,0
39872,59,65
39930,59,0
39936,67,94
39994,67,0
40000,57,62
40058,57,0
40064,50,64
40122,50,0
40128,57,92
40186,57,0
40192,67,102
40250,67,0
40256,57,63
40314,57,0
40320,67,98
40378,67,0
40384,57,64
40442,57,0
40448,67,100
40506,67,0
40512,57,63
40570,57,0
40576,50,64
40634,50,0
40640,57,92
40698,57,0
40704,67,102
40762,67,0
40768,57,65
40826,57,0
40832,67,95
40890,67,0
40896,57,62
40954,57,0
40960,66,99
41018,66,0
41024,60,70
41082,60,0
41088,50,58
41146,50,0
41152,60,96
41210,60,0
41216,66,99
41274,66,0
41280,60,69
41338,60,0
41344,66,90
41402,66,0
41408,60,69
41466,60,0
41472,66,93
41530,66,0
41536,60,68
41594,60,0
41600,50,58
41658,50,0
41664,60,96
41722,60,0
41728,66,97
41786,66,0
41792,60,71
41850,60,0
41856,66,88
41914,66,0
41920,60,68
41978,60,0
41984,43,96
41984,59,96
41984,67,95
42958,43,0
42958,59,0
42958,67,0
